X,Y,R,T
-7.79327e-10,-2.56365e-11,7.80179e-10,-178.116
-7.79497e-10,-2.61481e-11,7.79043e-10,-178.056
-7.7728e-10,-2.63755e-11,7.77735e-10,-178.038
-7.76144e-10,-2.60344e-11,7.78019e-10,-178.098
-7.77167e-10,-2.75123e-11,7.77394e-10,-178.026
-7.76541e-10,-2.67734e-11,7.7711e-10,-178.026
-7.76655e-10,-2.63186e-11,7.77735e-10,-178.068
-7.7512e-10,-2.75123e-11,7.74154e-10,-177.918
-7.75518e-10,-2.86492e-11,7.76257e-10,-177.9
-7.762e-10,-2.72281e-11,7.77224e-10,-177.972
-7.76655e-10,-2.64323e-11,7.76598e-10,-178.008
