X,Y,R,T
-5.68154e-10,-2.14869e-11,5.68551e-10,-177.822
-5.67017e-10,-2.14869e-11,5.67642e-10,-177.822
-5.67642e-10,-2.14869e-11,5.67528e-10,-177.888
-5.66391e-10,-2.0748e-11,5.66619e-10,-177.81
-5.65652e-10,-2.28512e-11,5.6588e-10,-177.732
-5.65482e-10,-2.14869e-11,5.65823e-10,-177.804
-5.65482e-10,-2.08048e-11,5.64516e-10,-177.87
-5.61389e-10,-2.18848e-11,5.62924e-10,-177.762
-5.6264e-10,-2.08048e-11,5.62753e-10,-177.858
-5.61901e-10,-2.09753e-11,5.62014e-10,-177.792
-5.62867e-10,-2.18848e-11,5.62355e-10,-177.732
