X,Y,R,T,long
-1.93496e-10,-6.59386e-12,1.42109e-10,-178.128,730
-1.93496e-10,-6.36649e-12,1.42109e-10,-178.128,729
-1.94405e-10,-6.36649e-12,1.42792e-10,-178.182,728
-1.96224e-10,-6.36649e-12,1.44838e-10,-178.152,727
-1.98498e-10,-6.36649e-12,1.46884e-10,-178.17,726
-1.98498e-10,-6.36649e-12,1.46884e-10,-178.218,725
-1.9918e-10,-6.36649e-12,1.47566e-10,-178.176,724
-1.98953e-10,-5.91174e-12,1.47339e-10,-178.32,723
-1.99635e-10,-5.68437e-12,1.48021e-10,-178.422,722
-2.00544e-10,-6.13912e-12,1.48931e-10,-178.284,721
-2.00772e-10,-5.91174e-12,1.49158e-10,-178.29,720
-2.02136e-10,-6.13912e-12,1.50522e-10,-178.296,719
-2.02363e-10,-5.68437e-12,1.50522e-10,-178.44,718
-2.04182e-10,-6.13912e-12,1.52569e-10,-178.362,717
-2.04637e-10,-5.68437e-12,1.52796e-10,-178.41,716
-2.05319e-10,-6.13912e-12,1.53478e-10,-178.374,715
-2.06456e-10,-5.91174e-12,1.54615e-10,-178.38,714
-2.08957e-10,-5.68437e-12,1.57343e-10,-178.404,713
-2.09185e-10,-6.59386e-12,1.57343e-10,-178.218,712
-2.09867e-10,-6.36649e-12,1.5848e-10,-178.272,711
-2.10322e-10,-5.68437e-12,1.5848e-10,-178.458,710
-2.11686e-10,-7.04861e-12,1.60072e-10,-178.152,709
-2.11913e-10,-6.82124e-12,1.60527e-10,-178.152,708
-2.12595e-10,-7.04861e-12,1.61209e-10,-178.116,707
-2.1396e-10,-7.50339e-12,1.62346e-10,-178.038,706
-2.14414e-10,-6.36649e-12,1.63028e-10,-178.356,705
-2.16688e-10,-6.59386e-12,1.65302e-10,-178.284,704
-2.18507e-10,-7.04861e-12,1.66893e-10,-178.206,703
-2.18734e-10,-6.82124e-12,1.67348e-10,-178.254,702
-2.20326e-10,-6.82124e-12,1.6894e-10,-178.272,701
-2.22145e-10,-6.82124e-12,1.70531e-10,-178.278,700
-2.226e-10,-6.59386e-12,1.71213e-10,-178.374,699
-2.24191e-10,-6.13912e-12,1.7235e-10,-178.464,698
-2.25328e-10,-6.13912e-12,1.73714e-10,-178.476,697
-2.25783e-10,-6.36649e-12,1.74169e-10,-178.434,696
-2.27375e-10,-5.91174e-12,1.75761e-10,-178.53,695
-2.30785e-10,-5.457e-12,1.79171e-10,-178.674,694
-2.32604e-10,-5.68437e-12,1.8099e-10,-178.602,693
-2.3306e-10,-5.91174e-12,1.81445e-10,-178.608,692
-2.35334e-10,-5.68437e-12,1.83946e-10,-178.662,691
