X,Y,R,T,long
-4.41107e-10,-5.00225e-12,3.20144e-10,-179.37,730
-2.30103e-10,-3.18325e-12,1.25056e-10,-179.244,729
-2.15096e-10,-2.7285e-12,1.11414e-10,-179.286,728
-2.15096e-10,-3.63801e-12,1.11414e-10,-179.022,727
-2.16006e-10,-3.63801e-12,1.12323e-10,-179.112,726
-2.16461e-10,-3.18325e-12,1.13233e-10,-179.208,725
-2.16915e-10,-4.5475e-12,1.13233e-10,-178.854,724
-2.18734e-10,-4.09275e-12,1.15506e-10,-178.95,723
-2.21008e-10,-4.5475e-12,1.1778e-10,-178.878,722
-2.22372e-10,-4.09275e-12,1.19145e-10,-179.052,721
-2.24646e-10,-4.09275e-12,1.20964e-10,-178.98,720
-2.24646e-10,-4.09275e-12,1.20964e-10,-179.064,719
-2.23737e-10,-4.09275e-12,1.20509e-10,-179.058,718
-2.24191e-10,-4.09275e-12,1.20964e-10,-179.064,717
-2.25101e-10,-3.63801e-12,1.21873e-10,-179.148,716
-2.27375e-10,-3.18325e-12,1.23692e-10,-179.244,715
-2.28739e-10,-3.63801e-12,1.25056e-10,-179.244,714
-2.29648e-10,-2.7285e-12,1.25966e-10,-179.334,713
-2.31922e-10,-2.7285e-12,1.2824e-10,-179.424,712
-2.33742e-10,-2.7285e-12,1.30513e-10,-179.43,711
-2.35106e-10,-2.7285e-12,1.31423e-10,-179.43,710
-2.36016e-10,-2.7285e-12,1.32332e-10,-179.43,709
-2.38744e-10,-2.7285e-12,1.35061e-10,-179.436,708
-2.40108e-10,-1.36425e-12,1.3688e-10,-179.682,707
-2.4602e-10,-2.27375e-12,1.42337e-10,-179.532,706
-2.48294e-10,-2.7285e-12,1.45065e-10,-179.46,705
-2.52387e-10,-2.7285e-12,1.49158e-10,-179.544,704
-2.5466e-10,-1.819e-12,1.51432e-10,-179.628,703
-2.57389e-10,-2.7285e-12,1.5416e-10,-179.406,702
-2.60117e-10,-2.27375e-12,1.56889e-10,-179.562,701
-2.62846e-10,-3.18325e-12,1.59617e-10,-179.346,700
-2.65119e-10,-3.18325e-12,1.61891e-10,-179.352,699
-2.67393e-10,-3.18325e-12,1.64165e-10,-179.358,698
-2.69667e-10,-4.09275e-12,1.66438e-10,-179.22,697
-2.71031e-10,-4.09275e-12,1.67803e-10,-179.154,696
-2.7376e-10,-5.00225e-12,1.70531e-10,-179.022,695
-2.76033e-10,-4.09275e-12,1.72805e-10,-179.172,694
-2.77398e-10,-4.5475e-12,1.74169e-10,-179.106,693
-2.8149e-10,-5.00225e-12,1.78262e-10,-179.052,692
-2.87402e-10,-5.00225e-12,1.83719e-10,-179.07,691
-2.86493e-10,-4.5475e-12,1.83264e-10,-179.136,690
-2.88766e-10,-4.09275e-12,1.85083e-10,-179.274,689
-2.9104e-10,-4.09275e-12,1.87357e-10,-179.214,688
-2.93314e-10,-4.09275e-12,1.89631e-10,-179.28,687
-2.97861e-10,-4.09275e-12,1.94633e-10,-179.232,686
-3.01045e-10,-3.63801e-12,1.97361e-10,-179.364,685
-3.01499e-10,-2.7285e-12,1.98271e-10,-179.496,684
-3.02409e-10,-2.27375e-12,1.98725e-10,-179.622,683
-3.05592e-10,-1.819e-12,2.01909e-10,-179.688,682
-3.03773e-10,-2.27375e-12,2.00544e-10,-179.622,681
-3.07411e-10,-1.819e-12,2.04637e-10,-179.688,680
-3.10594e-10,-1.36425e-12,2.06911e-10,-179.754,679
-3.10139e-10,-1.36425e-12,2.06911e-10,-179.754,678
-3.13323e-10,-1.36425e-12,2.09639e-10,-179.82,677
-3.14687e-10,-1.36425e-12,2.11458e-10,-179.76,676
-3.16051e-10,-1.36425e-12,2.12368e-10,-179.82,675
-3.17415e-10,-1.819e-12,2.14187e-10,-179.7,674
-3.20144e-10,-2.7285e-12,2.16915e-10,-179.526,673
-3.19689e-10,-3.18325e-12,2.16461e-10,-179.46,672
-3.20599e-10,-4.09275e-12,2.16915e-10,-179.286,671
-3.21053e-10,-4.09275e-12,2.17825e-10,-179.286,670
-3.21508e-10,-5.00225e-12,2.1828e-10,-179.166,669
-3.22418e-10,-5.00225e-12,2.19189e-10,-179.172,668
-3.23327e-10,-5.00225e-12,2.20099e-10,-179.112,667
-3.25146e-10,-5.00225e-12,2.21918e-10,-179.178,666
-3.24691e-10,-5.00225e-12,2.21463e-10,-179.178,665
-3.26056e-10,-5.00225e-12,2.22827e-10,-179.178,664
-3.26056e-10,-5.00225e-12,2.22827e-10,-179.178,663
-3.2651e-10,-4.5475e-12,2.23282e-10,-179.238,662
-3.28784e-10,-6.82124e-12,2.25556e-10,-178.842,661
-3.28784e-10,-7.73076e-12,2.25556e-10,-178.722,660
-3.2742e-10,-9.54975e-12,2.24646e-10,-178.368,659
-3.29694e-10,-8.18551e-12,2.26465e-10,-178.608,658
-3.31058e-10,-7.27601e-12,2.27375e-10,-178.788,657
-3.31967e-10,-6.82124e-12,2.28739e-10,-178.848,656
-3.34241e-10,-5.91174e-12,2.30558e-10,-179.028,655
-3.33332e-10,-6.82124e-12,2.30558e-10,-178.854,654
-3.38789e-10,-6.36649e-12,2.35561e-10,-178.926,653
-3.41972e-10,-5.00225e-12,2.38744e-10,-179.16,652
-3.447e-10,-5.457e-12,2.41473e-10,-179.112,651
-3.47883e-10,-5.91174e-12,2.44656e-10,-179.124,650
-3.50157e-10,-5.00225e-12,2.4693e-10,-179.184,649
-3.52431e-10,-5.91174e-12,2.48749e-10,-179.076,648
-3.56069e-10,-5.91174e-12,2.53296e-10,-179.088,647
-3.59707e-10,-5.91174e-12,2.56025e-10,-179.046,646
-3.63345e-10,-6.36649e-12,2.60117e-10,-179.052,645
-3.67438e-10,-6.82124e-12,2.6421e-10,-178.962,644
-3.71076e-10,-7.73076e-12,2.68303e-10,-178.866,643
-3.75623e-10,-7.73076e-12,2.72395e-10,-178.884,642
-3.80625e-10,-7.73076e-12,2.77398e-10,-178.794,641
-3.86082e-10,-8.18551e-12,2.82855e-10,-178.812,640
-3.91084e-10,-9.095e-12,2.87857e-10,-178.728,639
-3.96996e-10,-9.095e-12,2.93769e-10,-178.752,638
-4.01998e-10,-9.095e-12,2.99226e-10,-178.764,637
-4.08365e-10,-8.18551e-12,3.05592e-10,-178.878,636
-4.15186e-10,-8.64026e-12,3.11958e-10,-178.848,635
-4.21553e-10,-9.095e-12,3.18325e-10,-178.824,634
-4.2701e-10,-7.73076e-12,3.24237e-10,-178.974,633
-4.3474e-10,-8.18551e-12,3.31967e-10,-178.944,632
-4.41107e-10,-7.73076e-12,3.37879e-10,-179.046,631
-4.47018e-10,-6.82124e-12,3.44246e-10,-179.148,630
-4.50202e-10,-7.27601e-12,3.46974e-10,-179.106,629
-4.58387e-10,-7.27601e-12,3.55159e-10,-179.166,628
-4.68393e-10,-6.82124e-12,3.65619e-10,-179.184,627
-4.82036e-10,-6.36649e-12,3.78806e-10,-179.286,626
-4.89766e-10,-5.91174e-12,3.86537e-10,-179.334,625
-4.99771e-10,-5.91174e-12,3.96541e-10,-179.352,624
-5.10685e-10,-6.36649e-12,4.07455e-10,-179.328,623
-5.20689e-10,-6.36649e-12,4.17915e-10,-179.34,622
-5.30694e-10,-5.91174e-12,4.27919e-10,-179.388,621
-5.42062e-10,-6.36649e-12,4.39288e-10,-179.364,620
-5.53431e-10,-5.91174e-12,4.50202e-10,-179.412,619
-5.65709e-10,-6.36649e-12,4.6248e-10,-179.358,618
-5.77078e-10,-6.36649e-12,4.74305e-10,-179.37,617
-5.87992e-10,-6.82124e-12,4.85219e-10,-179.352,616
-5.99361e-10,-7.27601e-12,4.96588e-10,-179.328,615
-6.10729e-10,-8.18551e-12,5.07956e-10,-179.25,614
-6.22098e-10,-8.18551e-12,5.1887e-10,-179.262,613
-6.34376e-10,-8.64026e-12,5.31603e-10,-179.244,612
-6.47109e-10,-9.095e-12,5.43881e-10,-179.232,611
-6.59387e-10,-9.095e-12,5.56614e-10,-179.244,610
-6.7303e-10,-9.095e-12,5.70257e-10,-179.232,609
-6.86672e-10,-9.095e-12,5.83899e-10,-179.25,608
-6.98041e-10,-1.00045e-11,5.94813e-10,-179.154,607
-7.04407e-10,-5.457e-12,6.02544e-10,-179.538,606
-7.2669e-10,-8.18551e-12,6.23917e-10,-179.37,605
-7.41696e-10,-8.18551e-12,6.38924e-10,-179.382,604
-7.57158e-10,-8.18551e-12,6.54385e-10,-179.394,603
-7.7171e-10,-8.18551e-12,6.68937e-10,-179.406,602
-7.87626e-10,-7.73076e-12,6.84853e-10,-179.442,601
-8.03997e-10,-7.27601e-12,7.01224e-10,-179.502,600
-8.19004e-10,-6.36649e-12,7.15776e-10,-179.556,599
-8.36739e-10,-6.36649e-12,7.34421e-10,-179.568,598
-8.5311e-10,-6.36649e-12,7.50337e-10,-179.598,597
-8.67661e-10,-5.91174e-12,7.64889e-10,-179.628,596
-8.83578e-10,-6.36649e-12,7.80805e-10,-179.61,595
-9.01313e-10,-5.91174e-12,7.9854e-10,-179.64,594
-9.18593e-10,-6.36649e-12,8.1582e-10,-179.628,593
-9.21322e-10,-6.36649e-12,8.18094e-10,-179.628,592
-9.34968e-10,-6.82124e-12,8.32646e-10,-179.616,591
-9.53158e-10,-6.36649e-12,8.50381e-10,-179.622,590
-9.71347e-10,-6.82124e-12,8.68571e-10,-179.61,589
-9.87718e-10,-7.73076e-12,8.85397e-10,-179.574,588
-1.00682e-09,-7.73076e-12,9.04496e-10,-179.562,587
-1.02228e-09,-9.095e-12,9.19957e-10,-179.496,586
-1.0391e-09,-9.095e-12,9.36332e-10,-179.502,585
-1.05502e-09,-1.00045e-11,9.52248e-10,-179.478,584
-1.07003e-09,-1.0914e-11,9.668e-10,-179.43,583
-1.08503e-09,-1.04592e-11,9.82261e-10,-179.454,582
-1.10141e-09,-1.04592e-11,9.98632e-10,-179.46,581
-1.12232e-09,-1.04592e-11,1.01955e-09,-179.472,580
-1.13869e-09,-1.0914e-11,1.03592e-09,-179.466,579
-1.15597e-09,-1.04592e-11,1.0532e-09,-179.49,578
-1.17189e-09,-1.00045e-11,1.06912e-09,-179.514,577
-1.18917e-09,-1.00045e-11,1.08685e-09,-179.538,576
-1.206e-09,-9.095e-12,1.10322e-09,-179.574,575
-1.22464e-09,-9.095e-12,1.12232e-09,-179.58,574
-1.24101e-09,-9.095e-12,1.13869e-09,-179.616,573
-1.25875e-09,-6.82124e-12,1.15643e-09,-179.694,572
-1.27694e-09,-6.36649e-12,1.17416e-09,-179.718,571
-1.29285e-09,-6.36649e-12,1.19008e-09,-179.718,570
-1.30832e-09,-5.91174e-12,1.20554e-09,-179.754,569
-1.32651e-09,-5.91174e-12,1.22373e-09,-179.754,568
-1.34106e-09,-5.457e-12,1.23783e-09,-179.772,567
-1.35652e-09,-5.00225e-12,1.25375e-09,-179.79,566
-1.38062e-09,-5.00225e-12,1.27785e-09,-179.808,565
-1.39153e-09,-5.457e-12,1.28876e-09,-179.778,564
-1.40745e-09,-6.36649e-12,1.30513e-09,-179.754,563
-1.42837e-09,-6.36649e-12,1.3256e-09,-179.748,562
-1.43974e-09,-7.27601e-12,1.33696e-09,-179.724,561
-1.45429e-09,-7.73076e-12,1.35152e-09,-179.7,560
-1.46975e-09,-8.64026e-12,1.36743e-09,-179.664,559
-1.48794e-09,-9.095e-12,1.38562e-09,-179.652,558
-1.50295e-09,-1.04592e-11,1.40017e-09,-179.61,557
-1.52114e-09,-1.13687e-11,1.41791e-09,-179.574,556
-1.53478e-09,-1.13687e-11,1.43155e-09,-179.58,555
-1.5466e-09,-1.2733e-11,1.44383e-09,-179.532,554
-1.56115e-09,-1.2733e-11,1.45838e-09,-179.526,553
-1.57434e-09,-1.2733e-11,1.47157e-09,-179.538,552
-1.58662e-09,-1.31877e-11,1.48385e-09,-179.532,551
-1.60026e-09,-1.31877e-11,1.49749e-09,-179.538,550
-1.61436e-09,-1.36425e-11,1.51159e-09,-179.526,549
-1.62937e-09,-1.22782e-11,1.52614e-09,-179.58,548
-1.63664e-09,-1.18235e-11,1.53342e-09,-179.592,547
-1.64346e-09,-1.0914e-11,1.54069e-09,-179.628,546
-1.65802e-09,-1.00045e-11,1.55479e-09,-179.664,545
-1.66666e-09,-9.095e-12,1.56388e-09,-179.712,544
-1.67621e-09,-7.73076e-12,1.57298e-09,-179.748,543
