X,Y,R,T,long
-1.74283e-10,-6.13912e-12,1.53705e-10,-177.984,730
-1.74396e-10,-5.68437e-12,1.53705e-10,-178.182,729
-1.73828e-10,-5.11594e-12,1.53137e-10,-178.332,728
-1.73601e-10,-5.457e-12,1.5291e-10,-178.218,727
-1.72691e-10,-5.68437e-12,1.52e-10,-178.14,726
-1.72691e-10,-5.57068e-12,1.52e-10,-178.188,725
-1.72464e-10,-5.34331e-12,1.51887e-10,-178.254,724
-1.7235e-10,-5.68437e-12,1.51659e-10,-178.14,723
-1.72236e-10,-5.34331e-12,1.51659e-10,-178.23,722
-1.72464e-10,-6.02543e-12,1.51887e-10,-178.032,721
-1.7235e-10,-6.02543e-12,1.51773e-10,-178.008,720
-1.72464e-10,-5.91174e-12,1.51887e-10,-178.056,719
-1.71895e-10,-6.36649e-12,1.51204e-10,-177.888,718
-1.7235e-10,-5.91174e-12,1.51773e-10,-178.05,717
-1.72464e-10,-6.36649e-12,1.51887e-10,-177.9,716
-1.72919e-10,-6.36649e-12,1.52341e-10,-177.924,715
-1.72691e-10,-6.48018e-12,1.52114e-10,-177.876,714
-1.72236e-10,-7.1623e-12,1.51659e-10,-177.63,713
-1.7235e-10,-6.82124e-12,1.51773e-10,-177.72,712
-1.72805e-10,-6.93492e-12,1.52228e-10,-177.744,711
-1.72236e-10,-6.48018e-12,1.51659e-10,-177.828,710
-1.72805e-10,-7.04861e-12,1.52228e-10,-177.678,709
-1.73146e-10,-7.1623e-12,1.52569e-10,-177.708,708
-1.73714e-10,-6.02543e-12,1.53137e-10,-178.02,707
-1.73487e-10,-6.70755e-12,1.5291e-10,-177.798,706
-1.73942e-10,-6.48018e-12,1.53478e-10,-177.918,705
-1.73828e-10,-6.13912e-12,1.53251e-10,-178.02,704
-1.75079e-10,-6.36649e-12,1.54501e-10,-177.948,703
-1.75761e-10,-5.68437e-12,1.5507e-10,-178.194,702
-1.75988e-10,-5.457e-12,1.55411e-10,-178.242,701
-1.77352e-10,-5.91174e-12,1.56775e-10,-178.104,700
-1.79285e-10,-5.57068e-12,1.58594e-10,-178.23,699
-1.80081e-10,-5.22962e-12,1.59617e-10,-178.35,698
-1.82014e-10,-5.00225e-12,1.61436e-10,-178.446,697
-1.8315e-10,-5.34331e-12,1.62459e-10,-178.332,696
-1.83037e-10,-5.11594e-12,1.62459e-10,-178.416,695
-1.8531e-10,-5.22962e-12,1.64847e-10,-178.392,694
-1.86788e-10,-5.34331e-12,1.66211e-10,-178.362,693
-1.88153e-10,-5.68437e-12,1.67575e-10,-178.296,692
-1.90313e-10,-5.91174e-12,1.69622e-10,-178.236,691
-1.89631e-10,-6.13912e-12,1.69053e-10,-178.188,690
-1.89517e-10,-6.70755e-12,1.6894e-10,-177.984,689
-1.89744e-10,-6.59386e-12,1.69281e-10,-178.032,688
-1.91222e-10,-6.48018e-12,1.70759e-10,-178.104,687
-1.927e-10,-6.82124e-12,1.72123e-10,-177.978,686
-1.95088e-10,-7.1623e-12,1.74624e-10,-177.906,685
