X,Y,R,T,long
-1.84429e-10,-6.16754e-12,1.79399e-10,-178.08,730
-1.84657e-10,-6.22438e-12,1.79598e-10,-178.08,729
-1.84714e-10,-6.13912e-12,1.79655e-10,-178.098,728
-1.85396e-10,-6.87808e-12,1.80365e-10,-177.876,727
-1.85623e-10,-6.36649e-12,1.80536e-10,-178.044,726
-1.85197e-10,-6.39491e-12,1.80166e-10,-178.026,725
-1.85225e-10,-6.79282e-12,1.80138e-10,-177.9,724
-1.85367e-10,-6.45176e-12,1.80393e-10,-178.008,723
-1.86277e-10,-6.33807e-12,1.81132e-10,-178.05,722
-1.8639e-10,-6.5086e-12,1.81417e-10,-178.002,721
-1.87641e-10,-6.02543e-12,1.8261e-10,-178.182,720
-1.8784e-10,-5.96859e-12,1.82781e-10,-178.182,719
-1.88522e-10,-6.16754e-12,1.8352e-10,-178.134,718
-1.88778e-10,-6.02543e-12,1.83719e-10,-178.176,717
-1.89631e-10,-5.76963e-12,1.84515e-10,-178.278,716
-1.90568e-10,-5.88332e-12,1.85509e-10,-178.254,715
-1.91279e-10,-5.91174e-12,1.86334e-10,-178.212,714
-1.91194e-10,-6.22438e-12,1.86163e-10,-178.14,713
-1.92473e-10,-5.82648e-12,1.87414e-10,-178.272,712
-1.93354e-10,-5.79806e-12,1.88266e-10,-178.29,711
-1.93411e-10,-5.34331e-12,1.88352e-10,-178.41,710
-1.94292e-10,-5.65595e-12,1.89176e-10,-178.332,709
-1.95457e-10,-5.71279e-12,1.90398e-10,-178.32,708
-1.96111e-10,-5.82648e-12,1.90995e-10,-178.308,707
-1.9739e-10,-5.31489e-12,1.92302e-10,-178.47,706
-1.98328e-10,-5.65595e-12,1.93269e-10,-178.38,705
-1.98981e-10,-5.42857e-12,1.93837e-10,-178.452,704
-1.99692e-10,-5.82648e-12,1.94604e-10,-178.32,703
-2.00118e-10,-6.30965e-12,1.95088e-10,-178.2,702
-2.01056e-10,-6.5086e-12,1.95969e-10,-178.152,701
-2.0225e-10,-6.33807e-12,1.97162e-10,-178.212,700
