X,Y,V,R,T
-1.113e-09,-2.43291e-11,-1.5,3.19007e-10,-177.708
8.18551e-12,-7.04861e-12,-1.4889447236180904,-3.8199e-11,-33.294
1.11414e-11,-6.13912e-12,-1.477889447236181,-3.8199e-11,-34.47
1.2733e-11,-7.50339e-12,-1.4668341708542714,-3.638e-11,-30.528
1.11414e-11,-1.00045e-11,-1.4557788944723618,-3.70621e-11,-32.778
1.29604e-11,-9.095e-12,-1.4447236180904524,-3.52431e-11,-33.366
1.06866e-11,-8.41288e-12,-1.4336683417085427,-3.79716e-11,-40.524
1.22782e-11,-1.06866e-11,-1.4226130653266331,-3.61526e-11,-44.13
1.47794e-11,-7.27601e-12,-1.4115577889447235,-3.41063e-11,-30.966
1.22782e-11,-1.00045e-11,-1.400502512562814,-3.56979e-11,-45.0
1.15961e-11,-8.86763e-12,-1.3894472361809045,-3.66074e-11,-38.658
1.18235e-11,-1.00045e-11,-1.3783919597989949,-3.79716e-11,-37.566
1.22782e-11,-1.06866e-11,-1.3673366834170855,-3.56979e-11,-40.794
1.20509e-11,-1.06866e-11,-1.3562814070351759,-3.56979e-11,-39.036
1.2733e-11,-9.54975e-12,-1.3452261306532662,-3.43336e-11,-41.862
1.34151e-11,-1.02319e-11,-1.3341708542713568,-3.43336e-11,-36.312
1.22782e-11,-1.0914e-11,-1.3231155778894472,-3.56979e-11,-43.29
1.15961e-11,-1.00045e-11,-1.3120603015075376,-3.50158e-11,-36.87
1.11414e-11,-9.77712e-12,-1.3010050251256282,-3.43336e-11,-37.536
1.36425e-11,-9.095e-12,-1.2899497487437186,-3.50158e-11,-36.87
1.2733e-11,-1.00045e-11,-1.278894472361809,-3.56979e-11,-39.036
1.50068e-11,-8.18551e-12,-1.2678391959798994,-3.43336e-11,-34.764
1.25056e-11,-9.54975e-12,-1.25678391959799,-3.50158e-11,-39.288
1.40972e-11,-1.02319e-11,-1.2457286432160803,-3.2742e-11,-32.706
1.54615e-11,-9.095e-12,-1.234673366834171,-3.2742e-11,-34.95
1.47794e-11,-1.04592e-11,-1.2236180904522613,-3.43336e-11,-40.722
1.52341e-11,-1.06866e-11,-1.2125628140703517,-3.41063e-11,-33.69
1.47794e-11,-9.77712e-12,-1.201507537688442,-3.4561e-11,-33.378
1.52341e-11,-1.20509e-11,-1.1904522613065327,-3.38789e-11,-36.546
1.31877e-11,-9.32238e-12,-1.179396984924623,-3.47884e-11,-34.944
1.43246e-11,-9.095e-12,-1.1683417085427137,-3.52431e-11,-34.992
1.25056e-11,-9.54975e-12,-1.157286432160804,-3.59253e-11,-32.004
1.43246e-11,-9.32238e-12,-1.1462311557788945,-3.4561e-11,-34.626
1.43246e-11,-1.06866e-11,-1.1351758793969848,-3.4561e-11,-32.124
1.50068e-11,-9.54975e-12,-1.1241206030150752,-3.43336e-11,-30.492
1.38698e-11,-9.32238e-12,-1.1130653266331658,-3.47884e-11,-29.604
1.31877e-11,-9.54975e-12,-1.1020100502512562,-3.38789e-11,-32.802
1.38698e-11,-8.86763e-12,-1.0909547738693468,-3.50158e-11,-30.174
1.38698e-11,-1.11414e-11,-1.0798994974874372,-3.41063e-11,-33.69
1.47794e-11,-1.04592e-11,-1.0688442211055276,-3.36515e-11,-31.782
1.47794e-11,-9.54975e-12,-1.057788944723618,-3.50158e-11,-32.25
1.54615e-11,-9.54975e-12,-1.0467336683417086,-3.41063e-11,-32.178
1.54615e-11,-8.41288e-12,-1.035678391959799,-3.38789e-11,-32.64
1.61436e-11,-7.95813e-12,-1.0246231155778895,-3.47884e-11,-25.29
1.47794e-11,-7.04861e-12,-1.01356783919598,-3.66074e-11,-24.864
1.50068e-11,-7.04861e-12,-1.0025125628140703,-3.56979e-11,-24.942
1.59163e-11,-7.73076e-12,-0.9914572864321608,-3.50158e-11,-24.774
1.47794e-11,-8.86763e-12,-0.9804020100502512,-3.38789e-11,-29.946
1.4552e-11,-8.18551e-12,-0.9693467336683417,-3.54705e-11,-24.444
1.54615e-11,-8.41288e-12,-0.9582914572864322,-3.43336e-11,-25.32
1.4552e-11,-6.13912e-12,-0.9472361809045226,-3.54705e-11,-27.618
1.38698e-11,-7.04861e-12,-0.936180904522613,-3.47884e-11,-23.274
1.36425e-11,-7.04861e-12,-0.9251256281407034,-3.56979e-11,-23.598
1.40972e-11,-7.50339e-12,-0.9140703517587939,-3.72895e-11,-29.826
1.36425e-11,-6.36649e-12,-0.9030150753768844,-3.68348e-11,-25.134
1.29604e-11,-7.04861e-12,-0.8919597989949748,-3.68348e-11,-29.178
1.22782e-11,-6.13912e-12,-0.8809045226130653,-3.68348e-11,-32.622
1.25056e-11,-5.91174e-12,-0.8698492462311558,-3.70621e-11,-23.028
1.2733e-11,-6.59386e-12,-0.8587939698492462,-3.88811e-11,-21.252
1.15961e-11,-4.32013e-12,-0.8477386934673367,-3.86537e-11,-28.2
1.2733e-11,-3.63801e-12,-0.8366834170854272,-3.88811e-11,-18.432
1.34151e-11,-3.86538e-12,-0.8256281407035175,-3.75169e-11,-19.29
1.13687e-11,-5.00225e-12,-0.814572864321608,-3.91085e-11,-19.398
1.18235e-11,-2.7285e-12,-0.8035175879396984,-3.95632e-11,-16.164
1.11414e-11,-5.22962e-12,-0.7924623115577889,-3.8199e-11,-18.888
1.11414e-11,-4.5475e-12,-0.7814070351758794,-3.88811e-11,-15.318
9.54975e-12,-2.95587e-12,-0.7703517587939698,-4.1837e-11,-18.738
1.00045e-11,-5.00225e-12,-0.7592964824120603,-4.32012e-11,-26.562
7.73076e-12,-1.36425e-12,-0.7482412060301507,-4.38833e-11,-21.57
5.00225e-12,-2.50112e-12,-0.7371859296482411,-4.50202e-11,-17.97
5.22962e-12,-4.54751e-13,-0.7261306532663316,-4.50202e-11,-10.176
4.77487e-12,-2.04638e-12,-0.715075376884422,-4.68392e-11,-15.948
6.13912e-12,-2.50112e-12,-0.7040201005025125,-4.82034e-11,-37.404
3.63801e-12,-2.04638e-12,-0.692964824120603,-4.95677e-11,0.0
3.63801e-12,-1.819e-12,-0.6819095477386934,-4.88856e-11,-55.302
2.27375e-12,-3.41062e-12,-0.6708542713567839,-5.07046e-11,-120.966
-4.54751e-13,-3.18325e-12,-0.6597989949748744,-4.68392e-11,-120.258
-2.7285e-12,-1.59162e-12,-0.6487437185929648,-4.84308e-11,-132.882
-3.86538e-12,-2.7285e-12,-0.6376884422110553,-4.61571e-11,-147.264
-6.13912e-12,-6.82124e-13,-0.6266331658291456,-4.50202e-11,175.71
-7.04861e-12,-1.59162e-12,-0.6155778894472361,-4.34286e-11,-173.016
-9.54975e-12,-1.36425e-12,-0.6045226130653266,-4.07001e-11,177.36
-1.22782e-11,-1.59162e-12,-0.593467336683417,-3.93359e-11,-173.748
-1.2733e-11,6.82124e-13,-0.5824120603015075,-3.93359e-11,180.0
-1.50068e-11,0.0,-0.5713567839195979,-3.50158e-11,179.424
-1.75079e-11,-6.82124e-13,-0.5603015075376884,-3.38789e-11,179.46
-1.819e-11,0.0,-0.5492462311557789,-3.16052e-11,-179.526
-2.50112e-11,-6.82124e-13,-0.5381909547738692,-2.63755e-11,177.366
-2.56933e-11,-9.09502e-13,-0.5271356783919597,-2.47838e-11,-177.156
-2.88766e-11,-2.50112e-12,-0.5160804020100502,-2.02364e-11,-172.986
-3.18325e-11,-1.819e-12,-0.5050251256281406,-1.75079e-11,-176.634
-3.56979e-11,-1.36425e-12,-0.493969849246231,-1.40972e-11,-176.694
-4.07001e-11,-2.95587e-12,-0.4829145728643216,-1.02319e-11,-175.83
-4.02454e-11,-3.18325e-12,-0.471859296482412,-6.13912e-12,-176.646
-4.70666e-11,-1.819e-12,-0.46080402010050237,-2.27375e-12,-176.316
-4.93403e-11,-3.86538e-12,-0.44974874371859297,2.04638e-12,-176.256
-5.5252e-11,-2.50112e-12,-0.43869346733668335,6.13912e-12,-177.69
-6.04818e-11,-3.63801e-12,-0.42763819095477373,1.04592e-11,-176.31
-6.50293e-11,-3.18325e-12,-0.41658291457286434,1.65984e-11,-178.182
-7.02589e-11,-3.63801e-12,-0.4055276381909547,2.22827e-11,-175.74
-7.61706e-11,-5.68437e-12,-0.3944723618090451,2.59207e-11,-177.54
-8.04907e-11,-5.68437e-12,-0.3834170854271357,3.11504e-11,-176.196
-8.54929e-11,-5.457e-12,-0.3723618090452261,3.8199e-11,-176.7
-9.09499e-11,-5.68437e-12,-0.36130653266331647,4.29738e-11,-177.78
-9.68616e-11,-5.457e-12,-0.35025125628140685,4.82034e-11,-178.278
-1.04365e-10,-4.32013e-12,-0.33919597989949746,5.66163e-11,-177.528
-1.11868e-10,-5.22962e-12,-0.32814070351758784,6.48019e-11,-176.472
-1.17553e-10,-7.50339e-12,-0.3170854271356782,7.11684e-11,-176.736
-1.24374e-10,-6.82124e-12,-0.3060301507537688,7.73075e-11,-176.52
-1.32787e-10,-8.64026e-12,-0.2949748743718592,8.52656e-11,-176.58
-1.40973e-10,-1.06866e-11,-0.2839195979899496,9.27689e-11,-176.292
-1.49385e-10,-1.00045e-11,-0.2728643216080402,1.01636e-10,-176.13
-1.56661e-10,-9.54975e-12,-0.2618090452261306,1.09367e-10,-177.036
-1.64619e-10,-1.04592e-11,-0.25075376884422096,1.1869e-10,-176.466
-1.74169e-10,-1.11414e-11,-0.23969849246231156,1.26648e-10,-176.304
-1.83719e-10,-1.00045e-11,-0.22864321608040195,1.35743e-10,-176.43
-1.91677e-10,-9.54975e-12,-0.21758793969849233,1.45293e-10,-176.988
-1.99635e-10,-1.20509e-11,-0.20653266331658293,1.54388e-10,-176.892
-2.11913e-10,-1.20509e-11,-0.19547738693467331,1.66666e-10,-177.42
-2.23509e-10,-1.18235e-11,-0.1844221105527637,1.76898e-10,-177.114
-2.33969e-10,-1.06866e-11,-0.1733668341708543,1.87129e-10,-176.958
-2.42837e-10,-1.20509e-11,-0.16231155778894468,1.97816e-10,-176.976
-2.5466e-10,-1.40972e-11,-0.15125628140703506,2.10322e-10,-177.006
-2.66256e-10,-1.40972e-11,-0.14020100502512545,2.21463e-10,-177.624
-2.78989e-10,-1.15961e-11,-0.12914572864321605,2.35106e-10,-177.168
-2.90813e-10,-1.20509e-11,-0.11809045226130643,2.45338e-10,-177.456
-3.02181e-10,-1.47794e-11,-0.10703517587939682,2.57161e-10,-177.462
-3.16506e-10,-1.47794e-11,-0.09597989949748742,2.70122e-10,-177.594
-3.28329e-10,-1.50068e-11,-0.0849246231155778,2.82855e-10,-177.204
-3.42427e-10,-1.50068e-11,-0.07386934673366818,2.96497e-10,-177.834
