X,Y,V,R,T
-1.13517e-10,-7.1623e-12,-1.5,1.07207e-10,-176.25
-4.40823e-11,-6.99177e-12,-1.4889447236180904,3.54989e-11,-170.304
-6.56544e-12,-6.42333e-12,-1.477889447236181,3.21167e-12,-129.75
3.49588e-12,-6.2528e-12,-1.4668341708542714,2.0748e-12,-58.83
4.94541e-12,-6.36649e-12,-1.4557788944723618,3.01272e-12,-52.29
5.40015e-12,-6.93492e-12,-1.4447236180904524,3.66643e-12,-51.984
5.5991e-12,-7.24756e-12,-1.4336683417085427,3.92222e-12,-52.14
5.457e-12,-7.27601e-12,-1.4226130653266331,3.92222e-12,-52.602
5.91174e-12,-6.79282e-12,-1.4115577889447235,3.80854e-12,-48.462
5.99701e-12,-7.07703e-12,-1.400502512562814,4.09275e-12,-49.602
6.59386e-12,-6.99177e-12,-1.3894472361809045,4.46224e-12,-46.47
6.53702e-12,-7.10546e-12,-1.3783919597989949,4.5475e-12,-47.088
6.42333e-12,-7.02019e-12,-1.3673366834170855,4.34855e-12,-47.346
6.36649e-12,-7.13388e-12,-1.3562814070351759,4.40539e-12,-48.102
6.45176e-12,-6.79282e-12,-1.3452261306532662,4.20644e-12,-46.512
6.36649e-12,-6.65071e-12,-1.3341708542713568,4.00749e-12,-46.398
5.99701e-12,-6.99177e-12,-1.3231155778894472,3.97907e-12,-49.578
5.8549e-12,-6.2528e-12,-1.3120603015075376,3.43904e-12,-46.338
6.39491e-12,-6.79282e-12,-1.3010050251256282,4.17802e-12,-46.806
5.79806e-12,-6.56544e-12,-1.2899497487437186,3.60957e-12,-48.69
5.79806e-12,-6.19596e-12,-1.278894472361809,3.26851e-12,-46.362
5.8549e-12,-6.08227e-12,-1.2678391959798994,3.26851e-12,-45.96
5.94017e-12,-6.39491e-12,-1.25678391959799,3.55273e-12,-47.094
5.94017e-12,-6.79282e-12,-1.2457286432160803,3.80854e-12,-48.834
5.99701e-12,-7.10546e-12,-1.234673366834171,4.1496e-12,-50.088
5.68437e-12,-6.53702e-12,-1.2236180904522613,3.49588e-12,-49.134
5.79806e-12,-6.59386e-12,-1.2125628140703517,3.63801e-12,-47.994
6.13912e-12,-6.30965e-12,-1.201507537688442,3.66643e-12,-45.462
6.48018e-12,-6.73597e-12,-1.1904522613065327,4.17802e-12,-45.792
6.96335e-12,-6.53702e-12,-1.179396984924623,4.34855e-12,-42.798
6.33807e-12,-6.65071e-12,-1.1683417085427137,4.00749e-12,-46.542
5.94017e-12,-6.48018e-12,-1.157286432160804,3.60957e-12,-47.544
5.91174e-12,-6.59386e-12,-1.1462311557788945,3.69485e-12,-47.598
5.91174e-12,-6.82124e-12,-1.1351758793969848,3.86538e-12,-49.122
6.13912e-12,-6.45176e-12,-1.1241206030150752,3.66643e-12,-46.224
5.68437e-12,-6.48018e-12,-1.1130653266331658,3.43904e-12,-48.846
