X,Y,V,R,T
6.93492e-12,-8.24235e-12,-1.5,1.25625e-11,-55.68
6.82124e-12,-1.08003e-11,-1.4874371859296482,1.18803e-11,-50.112
6.19596e-12,-9.54975e-12,-1.4748743718592965,1.02887e-11,-54.57
6.48018e-12,-1.19372e-11,-1.4623115577889447,1.43246e-11,-64.446
5.62753e-12,-9.60659e-12,-1.449748743718593,1.20509e-11,-62.586
6.30965e-12,-8.86763e-12,-1.4371859296482412,1.21645e-11,-49.452
8.01498e-12,-9.03816e-12,-1.4246231155778895,1.03456e-11,-43.566
1.10845e-11,-7.84445e-12,-1.4120603015075377,1.28467e-11,-54.138
7.7876e-12,-8.86763e-12,-1.399497487437186,1.33014e-11,-45.306
8.92447e-12,-1.05161e-11,-1.3869346733668342,1.29604e-11,-47.598
7.84445e-12,-1.00045e-11,-1.3743718592964824,1.04592e-11,-42.552
7.44654e-12,-5.34331e-12,-1.3618090452261307,1.0175e-11,-33.276
8.35604e-12,-7.73076e-12,-1.349246231155779,1.0914e-11,-35.094
6.76439e-12,-6.65071e-12,-1.3366834170854272,1.18803e-11,-41.832
8.98132e-12,-9.20869e-12,-1.3241206030150754,1.03456e-11,-50.88
3.63801e-12,-6.48018e-12,-1.3115577889447236,6.48018e-12,-38.568
7.44654e-12,-6.93492e-12,-1.2989949748743719,9.94765e-12,-41.472
3.92222e-12,-7.1623e-12,-1.2864321608040201,9.83397e-12,-43.902
5.40015e-12,-7.04861e-12,-1.2738693467336684,1.04592e-11,-47.712
5.91174e-12,-7.04861e-12,-1.2613065326633166,7.44654e-12,-63.096
5.17278e-12,-4.09275e-12,-1.2487437185929648,7.61707e-12,-39.516
4.49066e-12,-7.67392e-12,-1.236180904522613,9.54975e-12,-49.374
5.11594e-12,-8.6971e-12,-1.2236180904522613,7.27601e-12,-48.15
3.18325e-12,-4.32013e-12,-1.2110552763819096,6.53702e-12,-45.822
3.01272e-12,-7.3897e-12,-1.1984924623115578,5.62753e-12,-47.862
3.01272e-12,-7.33286e-12,-1.185929648241206,5.62753e-12,-62.826
1.59162e-12,-4.71803e-12,-1.1733668341708543,2.89903e-12,-29.178
3.97907e-12,-5.22962e-12,-1.1608040201005025,7.56023e-12,-55.752
1.08003e-12,-4.83172e-12,-1.1482412060301508,5.62753e-12,-68.448
1.76215e-12,-7.10546e-12,-1.135678391959799,6.93492e-12,-73.902
3.35378e-12,-5.28647e-12,-1.1231155778894473,7.04861e-12,-81.87
1.08003e-12,-4.32013e-12,-1.1105527638190955,7.7876e-12,-68.562
2.78534e-12,-9.66344e-12,-1.0979899497487438,9.72028e-12,-80.766
1.02319e-12,-7.27601e-12,-1.085427135678392,7.44654e-12,-87.204
2.27375e-13,-8.98132e-12,-1.0728643216080402,6.82124e-12,-95.016
1.42109e-12,-8.92447e-12,-1.0603015075376885,8.41288e-12,-82.092
2.78534e-12,-8.6971e-12,-1.0477386934673367,7.10546e-12,-105.468
