X,Y,V,R,T
5.40016e-13,-4.86014e-12,-1.5,-1.70531e-13,-80.946
1.59162e-12,-5.34331e-12,-1.4889447236180904,4.83173e-13,-73.494
6.25281e-13,-5.62753e-12,-1.477889447236181,5.11594e-13,-84.258
-2.84219e-14,-5.65595e-12,-1.4668341708542714,4.54751e-13,-90.342
3.41062e-13,-4.88856e-12,-1.4557788944723618,-2.84219e-13,-85.89
1.13688e-13,-5.17278e-12,-1.4447236180904524,-5.68439e-14,-89.064
2.27375e-13,-4.68961e-12,-1.4336683417085427,-4.54751e-13,-86.964
5.40016e-13,-4.91698e-12,-1.4226130653266331,-2.55797e-13,-82.998
4.54751e-13,-4.60434e-12,-1.4115577889447235,-5.68438e-13,-84.804
8.52655e-13,-4.40539e-12,-1.400502512562814,-6.53703e-13,-79.314
5.40016e-13,-5.05909e-12,-1.3894472361809045,-2.84219e-14,-83.658
7.38968e-13,-5.14436e-12,-1.3783919597989949,0.0,-80.904
5.96859e-13,-4.97383e-12,-1.3673366834170855,-1.42109e-13,-83.346
6.25281e-13,-5.42857e-12,-1.3562814070351759,3.41062e-13,-83.412
5.68438e-13,-5.11594e-12,-1.3452261306532662,0.0,-83.31
2.55797e-13,-4.88856e-12,-1.3341708542713568,-3.12641e-13,-87.246
5.40016e-13,-4.8033e-12,-1.3231155778894472,-3.41062e-13,-82.26
5.11594e-13,-5.14436e-12,-1.3120603015075376,-2.84219e-14,-84.786
8.52656e-14,-5.08751e-12,-1.3010050251256282,-8.52656e-14,-89.058
2.84219e-14,-4.97383e-12,-1.2899497487437186,-2.84219e-13,-90.39
4.26327e-13,-4.86014e-12,-1.278894472361809,-3.41062e-13,-84.84
6.25281e-13,-4.49066e-12,-1.2678391959798994,-6.82124e-13,-82.32
5.40016e-13,-4.57592e-12,-1.25678391959799,-5.96859e-13,-83.916
1.98953e-13,-4.8033e-12,-1.2457286432160803,-3.97906e-13,-87.396
4.26327e-13,-4.91698e-12,-1.234673366834171,-2.27375e-13,-84.786
5.96859e-13,-5.17278e-12,-1.2236180904522613,5.68439e-14,-83.214
6.25281e-13,-5.48542e-12,-1.2125628140703517,3.97906e-13,-83.13
3.97906e-13,-4.91698e-12,-1.201507537688442,-2.55797e-13,-85.704
4.26327e-13,-4.71803e-12,-1.1904522613065327,-3.69484e-13,-84.624
5.11594e-13,-5.08751e-12,-1.179396984924623,-5.68439e-14,-84.198
-5.68439e-14,-4.88856e-12,-1.1683417085427137,-3.41062e-13,-90.594
1.98953e-13,-4.51908e-12,-1.157286432160804,-6.82124e-13,-87.234
3.97906e-13,-5.05909e-12,-1.1462311557788945,0.0,-84.804
6.25281e-13,-5.48542e-12,-1.1351758793969848,2.84219e-13,-82.788
7.10546e-13,-5.17278e-12,-1.1241206030150752,5.68439e-14,-82.104
4.54751e-13,-5.2012e-12,-1.1130653266331658,8.52656e-14,-84.906
3.12641e-13,-4.8033e-12,-1.1020100502512562,-3.69484e-13,-86.4
4.83173e-13,-4.8033e-12,-1.0909547738693468,-2.55797e-13,-84.54
7.38968e-13,-5.17278e-12,-1.0798994974874372,2.84219e-14,-81.504
6.25281e-13,-5.08751e-12,-1.0688442211055276,-8.52656e-14,-82.428
4.83173e-13,-5.14436e-12,-1.057788944723618,0.0,-84.636
6.25281e-13,-5.08751e-12,-1.0467336683417086,-2.84219e-14,-83.292
5.11594e-13,-5.28647e-12,-1.035678391959799,1.42109e-13,-84.396
3.97906e-13,-5.05909e-12,-1.0246231155778895,-1.42109e-13,-85.062
4.26327e-13,-4.40539e-12,-1.01356783919598,-7.95811e-13,-84.096
2.84219e-14,-4.49066e-12,-1.0025125628140703,-6.53703e-13,-89.574
4.26327e-13,-4.74645e-12,-0.9914572864321608,-4.26327e-13,-84.15
4.26327e-13,-5.00225e-12,-0.9804020100502512,-1.13688e-13,-85.458
5.11594e-13,-5.28647e-12,-0.9693467336683417,1.42109e-13,-84.036
7.95811e-13,-4.91698e-12,-0.9582914572864322,-2.27375e-13,-80.7
7.6739e-13,-4.88856e-12,-0.9472361809045226,-2.27375e-13,-80.886
7.95811e-13,-5.25804e-12,-0.936180904522613,1.13688e-13,-81.486
2.27375e-13,-4.86014e-12,-0.9251256281407034,-3.12641e-13,-87.246
-2.27375e-13,-5.17278e-12,-0.9140703517587939,0.0,-91.848
2.84219e-14,-5.28647e-12,-0.9030150753768844,8.52656e-14,-89.454
1.42109e-13,-4.40539e-12,-0.8919597989949748,-8.24233e-13,-88.236
4.26327e-13,-4.37697e-12,-0.8809045226130653,-7.95811e-13,-82.986
5.40016e-13,-4.60434e-12,-0.8698492462311558,-4.83173e-13,-83.256
8.52655e-13,-4.29171e-12,-0.8587939698492462,-7.6739e-13,-79.032
6.82124e-13,-5.28647e-12,-0.8477386934673367,2.27375e-13,-82.548
4.83173e-13,-5.68437e-12,-0.8366834170854272,5.11594e-13,-85.122
9.66345e-13,-5.17278e-12,-0.8256281407035175,1.13688e-13,-78.69
4.54751e-13,-4.91698e-12,-0.814572864321608,-2.84219e-13,-84.522
2.55797e-13,-4.86014e-12,-0.8035175879396984,-3.12641e-13,-86.85
1.42109e-13,-5.05909e-12,-0.7924623115577889,-8.52656e-14,-88.68
