X,Y,V,R,T
1.81189e-12,-1.00258e-11,-1.5,8.55499e-12,-86.694
2.52244e-12,-1.04024e-11,-1.4874371859296482,9.59949e-12,-78.264
1.22214e-12,-9.45027e-12,-1.4748743718592965,6.99177e-12,-80.232
2.28086e-12,-9.17316e-12,-1.4623115577889447,1.04166e-11,-78.786
1.93269e-12,-9.25132e-12,-1.449748743718593,8.91737e-12,-80.1
3.75169e-12,-1.00756e-11,-1.4371859296482412,9.66344e-12,-93.126
3.82275e-12,-9.98318e-12,-1.4246231155778895,9.94765e-12,-85.968
1.17951e-12,-8.41288e-12,-1.4120603015075377,9.27264e-12,-93.09
2.30928e-12,-7.62418e-12,-1.399497487437186,9.79844e-12,-83.202
1.63426e-12,-9.43606e-12,-1.3869346733668342,9.40054e-12,-83.04
1.06582e-13,-7.97945e-12,-1.3743718592964824,9.99739e-12,-76.902
1.95401e-12,-1.08998e-11,-1.3618090452261307,9.05237e-12,-83.784
2.0748e-12,-9.44317e-12,-1.349246231155779,8.29919e-12,-68.334
1.98953e-13,-7.94392e-12,-1.3366834170854272,1.06937e-11,-88.464
1.4353e-12,-8.33472e-12,-1.3241206030150754,9.10921e-12,-73.074
2.77113e-13,-8.15709e-12,-1.3115577889447236,8.1784e-12,-63.684
5.75543e-13,-1.08358e-11,-1.2989949748743719,8.3063e-12,-80.91
4.68961e-12,-8.0505e-12,-1.2864321608040201,6.52281e-12,-64.062
1.59162e-12,-7.31154e-12,-1.2738693467336684,9.84107e-12,-66.96
4.97383e-12,-9.45738e-12,-1.2613065326633166,9.16606e-12,-85.248
1.50636e-12,-8.07182e-12,-1.2487437185929648,6.9065e-12,-85.02
3.05535e-12,-6.2528e-12,-1.236180904522613,9.6137e-12,-67.632
1.13688e-12,-6.43044e-12,-1.2236180904522613,8.34893e-12,-88.674
2.67876e-12,-8.1784e-12,-1.2110552763819096,8.29209e-12,-78.78
-3.62379e-13,-1.08358e-11,-1.1984924623115578,9.51422e-12,-79.956
2.4727e-12,-8.23525e-12,-1.185929648241206,1.05658e-11,-74.22
-3.41062e-13,-6.41623e-12,-1.1733668341708543,8.8321e-12,-76.74
1.70531e-12,-8.75394e-12,-1.1608040201005025,7.24046e-12,-74.25
1.76215e-12,-8.71131e-12,-1.1482412060301508,7.65971e-12,-82.152
2.29507e-12,-8.94579e-12,-1.135678391959799,8.96e-12,-84.456
2.55086e-12,-9.72028e-12,-1.1231155778894473,1.05871e-11,-62.13
2.13875e-12,-7.44654e-12,-1.1105527638190955,6.97045e-12,-74.184
4.61856e-13,-8.58341e-12,-1.0979899497487438,8.00787e-12,-74.37
2.13164e-12,-9.2229e-12,-1.085427135678392,1.0104e-11,-67.512
1.08003e-12,-8.06472e-12,-1.0728643216080402,1.02745e-11,-94.392
1.0374e-12,-7.44654e-12,-1.0603015075376885,9.99739e-12,-84.684
7.816e-13,-8.33472e-12,-1.0477386934673367,6.52281e-12,-77.91
2.48692e-13,-6.76439e-12,-1.035175879396985,7.19072e-12,-77.418
3.87249e-12,-6.08938e-12,-1.0226130653266332,1.11058e-11,-82.068
1.01608e-12,-9.05237e-12,-1.0100502512562815,8.34893e-12,-65.376
2.3448e-12,-8.87473e-12,-0.9974874371859296,7.11967e-12,-78.288
3.33956e-12,-8.18551e-12,-0.9849246231155778,9.79844e-12,-87.0
1.1724e-12,-7.65971e-12,-0.9723618090452261,9.50712e-12,-91.284
5.40016e-13,-7.35417e-12,-0.9597989949748743,7.36128e-12,-86.886
1.89716e-12,-8.59052e-12,-0.9472361809045226,6.68623e-12,-94.23
7.81601e-14,-7.62418e-12,-0.9346733668341708,7.92261e-12,-69.522
1.74794e-12,-9.29395e-12,-0.922110552763819,8.37025e-12,-86.808
-8.31338e-13,-8.85342e-12,-0.9095477386934673,8.98842e-12,-83.316
-2.84219e-14,-5.76963e-12,-0.8969849246231155,7.75918e-12,-88.032
8.38444e-13,-6.55123e-12,-0.8844221105527638,8.02919e-12,-85.908
2.00374e-12,-5.69858e-12,-0.871859296482412,1.07008e-11,-71.712
-7.816e-13,-6.79992e-12,-0.8592964824120602,9.33659e-12,-81.006
1.20082e-12,-8.16419e-12,-0.8467336683417085,6.78571e-12,-71.622
3.55273e-13,-7.7876e-12,-0.8341708542713567,9.38633e-12,-83.64
3.26851e-12,-8.46972e-12,-0.821608040201005,7.80892e-12,-90.246
2.30928e-12,-8.48394e-12,-0.8090452261306532,8.79657e-12,-84.828
6.18176e-13,-8.81079e-12,-0.7964824120603015,6.94203e-12,-71.424
3.908e-13,-1.03242e-11,-0.7839195979899497,1.00187e-11,-87.6
7.88706e-13,-9.17316e-12,-0.7713567839195979,7.73076e-12,-89.064
1.77636e-12,-9.00263e-12,-0.7587939698492462,7.09124e-12,-82.878
2.4727e-12,-9.84818e-12,-0.7462311557788944,8.24235e-12,-103.272
6.67914e-13,-5.68437e-12,-0.7336683417085427,8.78947e-12,-91.392
-1.72663e-12,-1.00329e-11,-0.7211055276381909,9.67054e-12,-95.856
7.46073e-13,-7.36128e-12,-0.7085427135678392,9.91923e-12,-92.658
1.84742e-13,-1.08003e-11,-0.6959798994974874,8.00787e-12,-93.48
-1.13688e-13,-8.95289e-12,-0.6834170854271356,7.45365e-12,-97.5
-7.03441e-13,-1.0104e-11,-0.6708542713567839,8.98842e-12,-108.54
-1.96822e-12,-9.18737e-12,-0.6582914572864321,7.6526e-12,-106.53
-1.13688e-13,-1.02461e-11,-0.6457286432160804,8.15709e-12,-106.374
-6.1107e-13,-6.91361e-12,-0.6331658291457286,6.58676e-12,-105.96
-1.10845e-12,-1.03953e-11,-0.6206030150753769,7.9084e-12,-113.952
-1.0374e-12,-8.41999e-12,-0.6080402010050251,9.4858e-12,-89.958
-1.67689e-12,-1.04806e-11,-0.5954773869346733,9.79133e-12,-99.642
