X,Y,V,R,T
4.77487e-12,-1.11414e-11,-1.5,-4.27465e-11,-66.798
-9.09502e-13,-5.00225e-12,-1.4889447236180904,-4.52476e-11,-85.488
-6.82124e-13,-7.73076e-12,-1.477889447236181,-4.61571e-11,-93.468
1.59162e-12,-4.09275e-12,-1.4668341708542714,-4.75213e-11,-87.708
0.0,-5.68437e-12,-1.4557788944723618,-4.68392e-11,-86.058
-2.27375e-13,-3.18325e-12,-1.4447236180904524,-4.75213e-11,-109.176
2.27375e-12,-4.32013e-12,-1.4336683417085427,-4.75213e-11,-68.628
-1.59162e-12,-5.00225e-12,-1.4226130653266331,-4.63845e-11,-95.526
4.54751e-13,-5.00225e-12,-1.4115577889447235,-4.63845e-11,-84.474
-1.36425e-12,-6.36649e-12,-1.400502512562814,-4.61571e-11,-88.266
6.82124e-13,-5.00225e-12,-1.3894472361809045,-4.63845e-11,-71.568
0.0,-4.5475e-12,-1.3783919597989949,-4.63845e-11,-82.65
2.27375e-13,-5.91174e-12,-1.3673366834170855,-4.57023e-11,-88.362
4.54751e-13,-5.91174e-12,-1.3562814070351759,-4.52476e-11,-94.512
-6.82124e-13,-4.5475e-12,-1.3452261306532662,-4.79761e-11,-97.764
1.36425e-12,-5.91174e-12,-1.3341708542713568,-4.68392e-11,-84.096
9.09502e-13,-2.95587e-12,-1.3231155778894472,-4.75213e-11,-85.236
-2.27375e-13,-4.77487e-12,-1.3120603015075376,-4.68392e-11,-112.932
1.13688e-12,-4.5475e-12,-1.3010050251256282,-4.61571e-11,-93.468
4.54751e-13,-6.36649e-12,-1.2899497487437186,-4.63845e-11,-90.0
-4.54751e-13,-4.5475e-12,-1.278894472361809,-4.72939e-11,-83.418
1.36425e-12,-5.00225e-12,-1.2678391959798994,-4.59297e-11,-76.374
2.27375e-13,-4.32013e-12,-1.25678391959799,-4.5475e-11,-97.698
0.0,-6.13912e-12,-1.2457286432160803,-4.41107e-11,-88.728
-1.36425e-12,-6.36649e-12,-1.234673366834171,-4.50202e-11,-100.44
-2.27375e-13,-4.77487e-12,-1.2236180904522613,-4.75213e-11,-70.824
1.819e-12,-4.5475e-12,-1.2125628140703517,-4.68392e-11,-102.096
-1.13688e-12,-5.68437e-12,-1.201507537688442,-4.68392e-11,-102.096
9.09502e-13,-5.457e-12,-1.1904522613065327,-4.75213e-11,-92.388
-2.27375e-13,-5.00225e-12,-1.179396984924623,-4.70666e-11,-85.764
